MICROPHONE,ORIENTATION,SOUND,ANGLE,ANSWER,PERSON
BINAURAL,AZIMUTH,NOISE,0,-138,4
BINAURAL,AZIMUTH,NOISE,90,145,4
BINAURAL,AZIMUTH,NOISE,-90,156,4
BINAURAL,AZIMUTH,NOISE,150,40,4
BINAURAL,AZIMUTH,NOISE,30,170,4
BINAURAL,AZIMUTH,NOISE,-150,135,4
BINAURAL,AZIMUTH,NOISE,180,115,4
BINAURAL,AZIMUTH,NOISE,-30,-170,4
BINAURAL,ELEVATION,NOISE,-15,180,4
BINAURAL,ELEVATION,NOISE,90,-140,4
BINAURAL,ELEVATION,NOISE,-45,140,4
BINAURAL,ELEVATION,NOISE,-150,-160,4
BINAURAL,ELEVATION,NOISE,105,108,4
BINAURAL,ELEVATION,NOISE,-135,-175,4
BINAURAL,ELEVATION,NOISE,30,-130,4
BINAURAL,ELEVATION,NOISE,135,-120,4
BINAURAL,AZIMUTH,ANGRY,0,35,4
BINAURAL,AZIMUTH,ANGRY,90,115,4
BINAURAL,AZIMUTH,ANGRY,-90,125,4
BINAURAL,AZIMUTH,ANGRY,150,100,4
BINAURAL,AZIMUTH,ANGRY,30,145,4
BINAURAL,AZIMUTH,ANGRY,-150,160,4
BINAURAL,AZIMUTH,ANGRY,180,180,4
BINAURAL,AZIMUTH,ANGRY,-30,165,4
BINAURAL,ELEVATION,SWEET,-15,110,4
BINAURAL,ELEVATION,SWEET,90,130,4
BINAURAL,ELEVATION,SWEET,-45,140,4
BINAURAL,ELEVATION,SWEET,-150,-160,4
BINAURAL,ELEVATION,SWEET,105,160,4
BINAURAL,ELEVATION,SWEET,-135,-175,4
BINAURAL,ELEVATION,SWEET,30,-150,4
BINAURAL,ELEVATION,SWEET,135,175,4
AMBEO,AZIMUTH,TRUMPET,0,-155,4
AMBEO,AZIMUTH,TRUMPET,90,160,4
AMBEO,AZIMUTH,TRUMPET,-90,150,4
AMBEO,AZIMUTH,TRUMPET,150,115,4
AMBEO,AZIMUTH,TRUMPET,30,90,4
AMBEO,AZIMUTH,TRUMPET,-150,75,4
